id,jour,ordre conditions,ordre histoires,condition,histoire,meanf rb,varf rb
1,1,c 3012,s 1302,2,2,-14.179316437694256,57.32415651562679
1,1,c 3012,s 1302,3,1,-29.599434848715266,-27.017279557167107
1,2,c 3012,s 1302,3,1,-20.476930202897726,-2.5624214103844856
2,1,c 2130,s 3012,3,1,-44.308061991929634,6.532320872624098
2,1,c 2130,s 3012,2,3,-33.11203226718542,51.9543430373395
2,2,c 2130,s 3012,3,1,-31.279247008539247,-8.529013008518838
2,2,c 2130,s 3012,2,3,-28.67570799911071,-5.0196723332951
3,1,c 0312,s 0321,2,1,-22.30333513125243,-48.08619112422095
3,1,c 0312,s 0321,3,3,-10.209863737308,-21.67534863760495
3,2,c 0312,s 0321,2,1,-10.125964311871972,-39.43505441001813
4,1,c 0132,s 0231,2,1,0.9321578031444844,33.37852731901838
4,1,c 0132,s 0231,3,3,-33.51900059480032,-10.17351261064765
4,2,c 0132,s 0231,2,1,13.671866497006135,75.67298642436411
4,2,c 0132,s 0231,3,3,-13.702646875324042,105.42998636519032
5,1,c 3102,s 2310,3,2,-41.94566746450224,8.19234498042416
5,1,c 3102,s 2310,2,0,-0.5500944529019836,30.281012351008552
5,2,c 3102,s 2310,3,2,-43.3627716576454,-34.53977169131124
5,2,c 3102,s 2310,2,0,-4.390908865851262,18.446403537167377
6,1,c 2103,s 3021,3,1,-43.01268762315193,-22.000540199262332
6,1,c 2103,s 3021,2,3,-18.321061334872766,-20.85498647761502
6,2,c 2103,s 3021,3,1,-43.93843568964441,-34.967548633084476
6,2,c 2103,s 3021,2,3,-23.152032216848973,-34.234031182261795
7,1,c 1023,s 1320,2,2,-6.434742361623003,-1.9356699046965353
7,1,c 1023,s 1320,3,0,-17.275064931731443,22.25377513771445
7,2,c 1023,s 1320,3,0,-29.98420913170612,-42.80011591404082
7,2,c 1023,s 1320,2,2,-6.074610748917097,-34.881264457463246
8,1,c 0231,s 0132,2,1,-37.841419241526154,-8.557797895812447
8,1,c 0231,s 0132,3,3,-12.174459118722691,-14.350094474031438
8,2,c 0231,s 0132,3,3,-5.238832862936038,33.910532098669634
8,2,c 0231,s 0132,2,1,-30.355619703004955,-4.445971221943113
9,1,c 2031,s 3210,2,3,-13.205341609422172,-17.090906584992172
9,1,c 2031,s 3210,3,1,-3.6279662278295266,18.684214160529542
9,2,c 2031,s 3210,2,3,4.926409151474775,-23.898482942426234
9,2,c 2031,s 3210,3,1,-3.175731092578604,12.559280039059729
10,1,c 1230,s 1203,3,0,-44.19050791188066,8.000504204714009
10,1,c 1230,s 1203,2,2,-12.451890385960018,4.678933868912116
10,2,c 1230,s 1203,3,0,-35.1095362666747,20.478901345019285
10,2,c 1230,s 1203,2,2,-15.989383478575947,-0.9210531640413189
11,1,c 2301,s 3120,3,1,-10.488799559449946,24.667388368074338
11,1,c 2301,s 3120,2,3,3.7245571535271527,115.93428718229953
11,2,c 2301,s 3120,2,3,-3.9658805098350514,-0.41902905640094357
11,2,c 2301,s 3120,3,1,-22.23811732551709,22.387233259339535
12,1,c 3012,s 2130,2,0,-8.361958815669436,101.88848889542994
12,1,c 3012,s 2130,3,2,-29.030190383968634,-31.109019024093598
12,2,c 3012,s 2130,2,0,-3.3776166061274093,19.48936734135851
12,2,c 3012,s 2130,3,2,-11.695521251264307,-19.630988594653907
13,1,c 1320,s 1023,2,2,-12.149639747683228,-24.736007869440257
13,1,c 1320,s 1023,3,0,-13.361996295094125,-36.752820284016565
13,2,c 1320,s 1023,2,2,-27.897693594594607,-51.31344168563879
13,2,c 1320,s 1023,3,0,-28.456641268268868,-20.587770581531295
14,1,c 2310,s 3102,2,3,-9.682717413483012,133.42931308872866
14,1,c 2310,s 3102,3,1,-34.586229786236224,57.72242315850815
14,2,c 2310,s 3102,2,3,9.60260490953333,83.30545830653455
14,2,c 2310,s 3102,3,1,-18.435634472992447,34.68270391917274
15,1,c 3201,s 2031,2,0,14.70991380063873,16.81683364105129
15,1,c 3201,s 2031,3,2,-13.241914026612811,5.732549526762165
15,2,c 3201,s 2031,3,2,-14.40822809881308,36.74975624229597
15,2,c 3201,s 2031,2,0,5.256015878199594,-0.4530918191080868
16,1,c 0123,s 0312,3,2,11.672949143129774,-4.167653937292748
16,2,c 0123,s 0312,3,2,-6.126870267745687,81.29574491819473
18,1,c 0321,s 1203,2,0,1.0293261353346184,-43.97071823838349
18,1,c 0321,s 1203,3,2,-26.42411354169254,64.29937523465262
18,2,c 0321,s 1203,2,0,2.0833412321439315,-58.71489570677865
18,2,c 0321,s 1203,3,2,-18.21335565261505,11.611973485054605
19,1,c 3210,s 0231,2,2,-34.85103284408553,-0.3348375279466742
19,1,c 3210,s 0231,3,0,-26.04605878230504,113.46002354571634
19,2,c 3210,s 0231,2,2,-48.493731288190844,-45.819738260895015
19,2,c 3210,s 0231,3,0,-45.08432960198058,5.153795334037525
20,1,c 1023,s 2103,2,0,-38.792013595088704,-16.144070805689093
20,1,c 1023,s 2103,3,3,-21.474076254022467,-23.202454978478336
20,2,c 1023,s 2103,3,3,-9.566169701592653,45.185450815716145
20,2,c 1023,s 2103,2,0,-24.928862058254587,-6.962519115583266
21,1,c 1023,s 2013,2,1,-3.2538773305659685,-25.313647633139702
21,1,c 1023,s 2013,3,3,-45.40869372186912,-40.65089784391378
21,2,c 1023,s 2013,3,3,-48.51390413852168,-29.97637286993856
21,2,c 1023,s 2013,2,1,-11.2115993383626,-17.059992509748568
